Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1338691,-,-,-,42.33,-71.1,-5,17,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2017,1,1,0,0,0,0,0,0,0,0,6,1,160.49,0,0.091,1.2000000000000002,1.486,220.10000000000002,99.55,2,1000,0.0000,0.0000,N/A
2017,1,1,0,30,0,0,0,0,0,0,6,1,158.76,0,0.091,1.1,1.471,220.10000000000002,99.56,2,1000,0.0000,0.0000,N/A
2017,1,1,1,0,0,0,0,0,0,0,8,1,155.52,0,0.091,1.1,1.457,220.9,98.33,2,1000,0.0000,0.0000,N/A
2017,1,1,1,30,0,0,0,0,0,0,6,1,151.3,0,0.091,1,1.428,220.9,100,2,1000,0.0000,0.0000,N/A
2017,1,1,2,0,0,0,0,0,0,0,8,1,146.47,0,0.091,1,1.4000000000000001,220.70000000000002,100,2,1000,0.0000,0.0000,N/A
2017,1,1,2,30,0,0,0,0,0,0,8,1,141.29,0,0.091,1,1.367,220.70000000000002,100,1,1000,0.0000,0.0000,N/A
2017,1,1,3,0,0,0,0,0,0,0,8,1,135.91,0,0.091,1,1.334,222.9,100,1,1000,0.0000,0.0000,N/A
2017,1,1,3,30,0,0,0,0,0,0,8,1,130.41,0,0.091,1,1.281,222.9,100,1,1000,0.0000,0.0000,N/A
2017,1,1,4,0,0,0,0,0,0,0,8,1,124.87,0,0.091,1,1.228,227.4,100,1,1000,0.0000,0.0000,N/A
2017,1,1,4,30,0,0,0,0,0,0,8,1,119.34,0,0.091,1,1.154,227.4,100,1,1000,0.0000,0.0000,N/A
2017,1,1,5,0,0,0,0,0,0,0,4,1,113.85000000000001,0,0.091,1,1.08,235.20000000000002,100,1,1000,0.0000,0.0000,N/A
2017,1,1,5,30,0,0,0,0,0,0,4,1,108.43,0,0.091,1,0.999,235.20000000000002,100,1,1000,0.0000,0.0000,N/A
2017,1,1,6,0,0,0,0,0,0,0,4,1,103.13,0,0.091,1,0.918,246,100,1,1000,0.0000,0.0000,N/A
2017,1,1,6,30,0,0,0,0,0,0,1,1,97.98,0,0.091,1,0.838,246,100,1,1010,0.0000,0.0000,N/A
2017,1,1,7,0,0,0,0,0,0,0,1,1,93.01,0,0.091,1,0.759,256.40000000000003,100,1,1010,0.0000,0.0000,N/A
2017,1,1,7,30,14,113,17,14,113,17,1,1,88.26,0,0.091,1,0.6970000000000001,256.40000000000003,100,1,1010,0.0000,0.0000,N/A
2017,1,1,8,0,35,386,77,35,386,77,0,1,83.8,0,0.091,1,0.635,264.6,100,2,1010,0.0000,0.0000,N/A
2017,1,1,8,30,51,539,147,51,539,147,0,1,79.67,0,0.091,0.9,0.603,264.6,100,2,1010,7.0066,5.3414,N/A
2017,1,1,9,0,58,667,220,58,667,220,0,1,75.93,0,0.091,0.9,0.5710000000000001,262.90000000000003,96.95,2,1010,10.6742,8.1893,N/A
2017,1,1,9,30,65,731,283,65,731,283,8,1,72.64,4,0.091,1,0.5720000000000001,262.90000000000003,97.01,2,1010,14.1404,10.9099,N/A
2017,1,1,10,0,112,434,261,68,785,338,2,0,69.88,0,0.091,1.1,0.5730000000000001,270.2,85.24,3,1010,13.3759,10.3598,N/A
2017,1,1,10,30,72,813,380,72,813,380,1,0,67.72,0,0.091,1.1,0.582,270.2,85.26,3,1010,19.8405,15.4044,N/A
2017,1,1,11,0,74,832,410,74,832,410,1,0,66.21000000000001,0,0.091,1.2000000000000002,0.591,274.7,79.56,4,1010,21.6686,16.8485,N/A
2017,1,1,11,30,75,841,425,75,841,425,0,0,65.4,0,0.091,1.2000000000000002,0.592,274.7,79.59,4,1010,22.6013,17.5863,N/A
2017,1,1,12,0,75,845,427,75,845,427,1,0,65.32000000000001,0,0.091,1.2000000000000002,0.593,276.5,72.56,4,1010,22.7213,17.6809,N/A
2017,1,1,12,30,74,838,415,74,838,415,1,0,65.97,0,0.091,1.2000000000000002,0.585,276.5,72.59,4,1010,21.9738,17.0895,N/A
2017,1,1,13,0,71,827,389,71,827,389,0,0,67.34,0,0.091,1.2000000000000002,0.578,280,71.34,4,1010,20.3741,15.8248,N/A
2017,1,1,13,30,68,802,350,68,802,350,0,0,69.36,0,0.091,1.1,0.5690000000000001,280,76.59,3,1010,18.0198,13.9654,N/A
2017,1,1,14,0,62,767,299,62,767,299,0,0,72,0,0.091,1.1,0.56,282.8,76.33,3,1010,15.0292,11.6069,N/A
2017,1,1,14,30,56,710,238,56,710,238,0,0,75.17,0,0.091,1,0.548,282.8,82,3,1010,11.6211,8.9281,N/A
2017,1,1,15,0,47,637,170,47,637,170,1,0,78.82000000000001,0,0.091,1,0.536,283.1,83.24,3,1010,8.1107,6.1904,N/A
